Date,Team,PTS,Opp,PTS_Opp,Weight
2023-11-12,Covirán Granada,75.0,Dreamland Gran Canaria,89.0,0.5
2023-11-12,Real Madrid,87.0,Surne Bilbao Basket,84.0,0.5
2023-11-12,Lenovo Tenerife,83.0,Barça,94.0,0.5
2023-11-14,Paris Basketball,101.0,Joventut,94.0,1.0
2023-11-14,Hapoel Tel Aviv,89.0,Prometey,98.0,1.0
2023-11-15,Umana Reyer Venezia,93.0,Wolves Vilnius,77.0,1.0
2023-11-15,Veolia Towers Hamburg,86.0,Cedevita Olimpija,83.0,1.0
2023-11-15,London Lions,83.0,Beşiktaş Emlakjet,80.0,1.0
2023-11-18,Río Breogán,83.0,Bàsquet Girona,87.0,0.5
2023-11-18,Zunder Palencia,71.0,Lenovo Tenerife,92.0,0.5
2023-11-18,Dreamland Gran Canaria,101.0,Casademont Zaragoza,94.0,0.5
2023-11-19,Monbus Obradoiro,56.0,Baxi Manresa,76.0,0.5
2023-11-19,Unicaja,99.0,Real Madrid,93.0,0.5
2023-11-19,Valencia Basket,74.0,Baskonia,83.0,0.5
2023-11-19,MoraBanc Andorra,88.0,Covirán Granada,91.0,0.5
2023-11-19,Barça,73.0,UCAM Murcia,82.0,0.5
2023-11-19,Surne Bilbao Basket,78.0,Joventut,81.0,0.5
2023-11-21,Beşiktaş Emlakjet,68.0,Paris Basketball,63.0,1.0
2023-11-21,Wolves Vilnius,84.0,Veolia Towers Hamburg,71.0,1.0
2023-11-22,Umana Reyer Venezia,82.0,Prometey,89.0,1.0
2023-11-22,Cedevita Olimpija,95.0,London Lions,101.0,1.0
2023-11-22,Joventut,99.0,Hapoel Tel Aviv,103.0,1.0
2023-11-25,Valencia Basket,101.0,Zunder Palencia,77.0,0.5
2023-11-25,Joventut,73.0,UCAM Murcia,105.0,0.5
2023-11-25,Unicaja,67.0,Surne Bilbao Basket,43.0,0.5
2023-11-25,Covirán Granada,94.0,Monbus Obradoiro,77.0,0.5
2023-11-26,Baxi Manresa,86.0,Baskonia,94.0,0.5
2023-11-26,Lenovo Tenerife,94.0,Dreamland Gran Canaria,82.0,0.5
2023-11-26,Casademont Zaragoza,77.0,Río Breogán,82.0,0.5
2023-11-26,MoraBanc Andorra,76.0,Real Madrid,85.0,0.5
2023-11-26,Real Madrid,,MoraBanc Andorra,,0.5
2023-11-26,Bàsquet Girona,78.0,Barça,115.0,0.5
2023-11-28,Veolia Towers Hamburg,77.0,Umana Reyer Venezia,94.0,1.0
2023-11-28,London Lions,101.0,Wolves Vilnius,87.0,1.0
2023-11-29,Hapoel Tel Aviv,,Beşiktaş Emlakjet,,1.0
2023-11-29,Paris Basketball,93.0,Cedevita Olimpija,77.0,1.0
2023-11-29,Prometey,76.0,Joventut,79.0,1.0
2023-11-29,Beşiktaş Emlakjet,75.0,Hapoel Tel Aviv,81.0,1.0
2023-12-02,MoraBanc Andorra,104.0,Bàsquet Girona,107.0,0.5
2023-12-02,Monbus Obradoiro,92.0,Lenovo Tenerife,87.0,0.5
2023-12-02,UCAM Murcia,76.0,Casademont Zaragoza,82.0,0.5
2023-12-02,Baxi Manresa,77.0,Unicaja,91.0,0.5
2023-12-03,Baskonia,72.0,Joventut,77.0,0.5
2023-12-03,Río Breogán,58.0,Real Madrid,91.0,0.5
2023-12-03,Surne Bilbao Basket,85.0,Valencia Basket,79.0,0.5
2023-12-03,Zunder Palencia,73.0,Dreamland Gran Canaria,100.0,0.5
2023-12-03,Covirán Granada,69.0,Barça,80.0,0.5
2023-12-05,Prometey,97.0,Veolia Towers Hamburg,83.0,1.0
2023-12-05,London Lions,95.0,Umana Reyer Venezia,91.0,1.0
2023-12-06,Joventut,85.0,Beşiktaş Emlakjet,81.0,1.0
2023-12-06,Hapoel Tel Aviv,95.0,Cedevita Olimpija,80.0,1.0
2023-12-06,Paris Basketball,110.0,Wolves Vilnius,79.0,1.0
2023-12-09,Unicaja,87.0,MoraBanc Andorra,81.0,0.5
2023-12-09,Río Breogán,76.0,Surne Bilbao Basket,68.0,0.5
2023-12-09,Zunder Palencia,85.0,Covirán Granada,109.0,0.5
2023-12-09,Bàsquet Girona,87.0,Baxi Manresa,101.0,0.5
2023-12-10,Monbus Obradoiro,69.0,Joventut,78.0,0.5
2023-12-10,Valencia Basket,85.0,UCAM Murcia,77.0,0.5
2023-12-10,Dreamland Gran Canaria,71.0,Real Madrid,97.0,0.5
2023-12-10,Lenovo Tenerife,100.0,Baskonia,104.0,0.5
