Date,Team,PTS,,Opp,PTS,,OT,Notes
Wed Dec 27 2023,Chorale Roanne Basket,82,,Jeanne d'Arc Dijon Basket,99,,,
Wed Dec 27 2023,Limoges CSP,66,,ESSM Le Portel,76,,,
Thu Dec 28 2023,Saint-Quentin Basketball,71,,JL Bourg,86,,,
Thu Dec 28 2023,Paris Basketball,,,BCM Gravelines-Dunkerque,,,,Postponed
Thu Dec 28 2023,LDLC ASVEL,,,AS Monaco,,,,Postponed
Thu Dec 28 2023,SLUC Nancy Basket,88,,Nanterre 92,89,,,
Sat Jan 13 2024,ESSM Le Portel,74,,JL Bourg,106,,,
Sat Jan 13 2024,Jeanne d'Arc Dijon Basket,84,,Élan Sportif Chalonnais,76,,,
Sat Jan 13 2024,BCM Gravelines-Dunkerque,68,,Le Mans Sarthe Basket,78,,,
Sat Jan 13 2024,SIG Strasbourg,68,,Nanterre 92,76,,,
Sat Jan 13 2024,AS Monaco,92,,Paris Basketball,85,,,
Sat Jan 13 2024,Metropolitans 92,82,,Saint-Quentin Basketball,68,,,
Sun Jan 14 2024,Chorale Roanne Basket,77,,Limoges CSP,80,,,
Sun Jan 14 2024,Blois,96,,SLUC Nancy Basket,93,,,
Sun Jan 14 2024,Cholet Basket,95,,LDLC ASVEL,100,,,
Sat Jan 20 2024,JL Bourg,89,,Élan Sportif Chalonnais,62,,,
Sat Jan 20 2024,ESSM Le Portel,82,,Cholet Basket,89,,,
Sat Jan 20 2024,Blois,63,,Jeanne d'Arc Dijon Basket,81,,,
Sat Jan 20 2024,Nanterre 92,79,,BCM Gravelines-Dunkerque,80,,,
Sat Jan 20 2024,Saint-Quentin Basketball,96,,Chorale Roanne Basket,90,,,
Sun Jan 21 2024,SIG Strasbourg,80,,Limoges CSP,73,,,
Sun Jan 21 2024,Le Mans Sarthe Basket,74,,AS Monaco,78,,,
Sun Jan 21 2024,LDLC ASVEL,103,,Metropolitans 92,79,,,
Sat Jan 27 2024,Metropolitans 92,83,,Cholet Basket,112,,,
Sat Jan 27 2024,Jeanne d'Arc Dijon Basket,55,,BCM Gravelines-Dunkerque,71,,,
Sat Jan 27 2024,LDLC ASVEL,100,,Le Mans Sarthe Basket,87,,,
Sat Jan 27 2024,Nanterre 92,84,,ESSM Le Portel,72,,,
Sat Jan 27 2024,Paris Basketball,86,,SIG Strasbourg,89,,,
Sun Jan 28 2024,Limoges CSP,73,,Blois,75,,,
Sun Jan 28 2024,Élan Sportif Chalonnais,69,,AS Monaco,82,,,
Sun Jan 28 2024,Saint-Quentin Basketball,77,,SLUC Nancy Basket,69,,,
Sat Feb 3 2024,Chorale Roanne Basket,80,,Blois,77,,,
Sat Feb 3 2024,SLUC Nancy Basket,73,,Jeanne d'Arc Dijon Basket,88,,,
Sat Feb 3 2024,SIG Strasbourg,77,,ESSM Le Portel,96,,,
Sat Feb 3 2024,Cholet Basket,87,,Nanterre 92,91,,,
Sat Feb 3 2024,Paris Basketball,93,,Metropolitans 92,77,,,
Sat Feb 3 2024,Le Mans Sarthe Basket,64,,Saint-Quentin Basketball,81,,,
Sun Feb 4 2024,AS Monaco,70,,JL Bourg,74,,,
Sun Feb 4 2024,BCM Gravelines-Dunkerque,63,,Élan Sportif Chalonnais,79,,,
Sun Feb 4 2024,Limoges CSP,66,,LDLC ASVEL,77,,,
Tue Feb 6 2024,LDLC ASVEL,71,,AS Monaco,89,,,
Sat Feb 10 2024,Blois,73,,BCM Gravelines-Dunkerque,82,,,
