Date,Team,PTS,,Opp,PTS,,OT,Notes
Thu Feb 8 2024,Maccabi Playtika Tel Aviv,91,,Anadolu Efes,105,,,
Thu Feb 8 2024,Real Madrid,76,,EA7 Emporio Armani Milano,81,,,
Thu Feb 8 2024,Bayern München,79,,Partizan Mozzart Bet,78,,,
Thu Feb 8 2024,Olympiacos,78,,Valencia Basket,65,,,
Thu Feb 8 2024,LDLC ASVEL,80,,Baskonia,94,,,
Fri Feb 9 2024,ALBA Berlin,77,,Barcelona,93,,,
Fri Feb 9 2024,Fenerbahçe Beko,63,,Panathinaikos,74,,,
Fri Feb 9 2024,Žalgiris,93,,Crvena zvezda Meridianbet,91,,,
Fri Feb 9 2024,AS Monaco,81,,Virtus Segafredo Bologna,78,,,
Thu Feb 29 2024,Maccabi Playtika Tel Aviv,106,,ALBA Berlin,71,,,
Thu Feb 29 2024,Anadolu Efes,90,,Partizan Mozzart Bet,100,,,
Thu Feb 29 2024,Panathinaikos,97,,Real Madrid,86,,,
Thu Feb 29 2024,Valencia Basket,74,,Virtus Segafredo Bologna,87,,,
Fri Mar 1 2024,AS Monaco,77,,Barcelona,67,,,
Fri Mar 1 2024,Crvena zvezda Meridianbet,66,,Bayern München,74,,,
Fri Mar 1 2024,Baskonia,96,,Fenerbahçe Beko,111,,,
Fri Mar 1 2024,EA7 Emporio Armani Milano,77,,LDLC ASVEL,81,,,
Fri Mar 1 2024,Olympiacos,95,,Žalgiris,76,,,
Thu Mar 7 2024,Bayern München,86,,Anadolu Efes,109,,,
Thu Mar 7 2024,Žalgiris,76,,Maccabi Playtika Tel Aviv,83,,,
Thu Mar 7 2024,Crvena zvezda Meridianbet,80,,AS Monaco,98,,,
Thu Mar 7 2024,Virtus Segafredo Bologna,69,,Olympiacos,74,,,
Thu Mar 7 2024,Fenerbahçe Beko,89,,Real Madrid,79,,,
Thu Mar 7 2024,Barcelona,88,,Valencia Basket,78,,,
Fri Mar 8 2024,Partizan Mozzart Bet,83,,EA7 Emporio Armani Milano,85,,,
Fri Mar 8 2024,LDLC ASVEL,67,,Panathinaikos,85,,,
Fri Mar 8 2024,ALBA Berlin,71,,Baskonia,88,,,
Thu Mar 14 2024,AS Monaco,90,,ALBA Berlin,82,,,
Thu Mar 14 2024,Partizan Mozzart Bet,76,,Barcelona,94,,,
Thu Mar 14 2024,Panathinaikos,65,,Olympiacos,71,,,
Thu Mar 14 2024,Maccabi Playtika Tel Aviv,84,,Crvena zvezda Meridianbet,80,,,
Thu Mar 14 2024,Valencia Basket,88,,Fenerbahçe Beko,118,,,
Thu Mar 14 2024,EA7 Emporio Armani Milano,73,,Baskonia,88,,,
Fri Mar 15 2024,Žalgiris,58,,Bayern München,64,,,
Fri Mar 15 2024,Anadolu Efes,80,,LDLC ASVEL,84,,,
Fri Mar 15 2024,Real Madrid,89,,Virtus Segafredo Bologna,74,,,
Tue Mar 19 2024,Real Madrid,86,,ALBA Berlin,79,,,
Tue Mar 19 2024,Olympiacos,72,,Anadolu Efes,85,,,
Tue Mar 19 2024,LDLC ASVEL,90,,Maccabi Playtika Tel Aviv,98,,,
Tue Mar 19 2024,Baskonia,83,,Partizan Mozzart Bet,87,,,
Tue Mar 19 2024,Virtus Segafredo Bologna,81,,Žalgiris,96,,,
Wed Mar 20 2024,EA7 Emporio Armani Milano,98,,AS Monaco,80,,,
Wed Mar 20 2024,Panathinaikos,89,,Crvena zvezda Meridianbet,76,,,
Wed Mar 20 2024,Barcelona,74,,Fenerbahçe Beko,88,,,
Wed Mar 20 2024,Bayern München,68,,Valencia Basket,70,,,
Thu Mar 21 2024,ALBA Berlin,84,,Anadolu Efes,85,,,
Thu Mar 21 2024,LDLC ASVEL,64,,Olympiacos,80,,,
Thu Mar 21 2024,Real Madrid,88,,Partizan Mozzart Bet,76,,,
Thu Mar 21 2024,Baskonia,76,,Žalgiris,94,,,
Fri Mar 22 2024,Maccabi Playtika Tel Aviv,89,,Bayern München,74,,,
Fri Mar 22 2024,Fenerbahçe Beko,76,,EA7 Emporio Armani Milano,77,,,
Fri Mar 22 2024,Valencia Basket,78,,AS Monaco,79,,,
Fri Mar 22 2024,Barcelona,81,,Panathinaikos,89,,,
Fri Mar 22 2024,Virtus Segafredo Bologna,79,,Crvena zvezda Meridianbet,94,,,
Wed Mar 27 2024,Valencia Basket,80,,Maccabi Playtika Tel Aviv,95,,,
Thu Mar 28 2024,Barcelona,87,,Bayern München,79,,,
Thu Mar 28 2024,Olympiacos,74,,Partizan Mozzart Bet,69,,,
Thu Mar 28 2024,AS Monaco,87,,LDLC ASVEL,77,,,
Thu Mar 28 2024,Anadolu Efes,97,,Baskonia,76,,,
Thu Mar 28 2024,EA7 Emporio Armani Milano,73,,Žalgiris,87,,,
Fri Mar 29 2024,Crvena zvezda Meridianbet,94,,Real Madrid,101,,,
Fri Mar 29 2024,ALBA Berlin,68,,Fenerbahçe Beko,103,,,
Fri Mar 29 2024,Panathinaikos,81,,Virtus Segafredo Bologna,79,,,
Thu Apr 4 2024,Partizan Mozzart Bet,94,,ALBA Berlin,83,,,
Thu Apr 4 2024,Maccabi Playtika Tel Aviv,89,,Barcelona,92,,,
Thu Apr 4 2024,Žalgiris,66,,AS Monaco,69,,,
Thu Apr 4 2024,Olympiacos,89,,Crvena zvezda Meridianbet,86,,,
Thu Apr 4 2024,LDLC ASVEL,98,,Valencia Basket,69,,,
Fri Apr 5 2024,Panathinaikos,82,,Bayern München,75,,,
Fri Apr 5 2024,Virtus Segafredo Bologna,75,,EA7 Emporio Armani Milano,90,,,
Fri Apr 5 2024,Baskonia,95,,Real Madrid,91,,,
Fri Apr 5 2024,Anadolu Efes,82,,Fenerbahçe Beko,80,,,
Thu Apr 11 2024,Crvena zvezda Meridianbet,55,,Anadolu Efes,100,,,
Thu Apr 11 2024,EA7 Emporio Armani Milano,86,,Maccabi Playtika Tel Aviv,92,,,
Thu Apr 11 2024,Bayern München,85,,AS Monaco,89,,,
Thu Apr 11 2024,ALBA Berlin,75,,Panathinaikos,84,,,
Thu Apr 11 2024,Real Madrid,64,,Žalgiris,62,,,
Fri Apr 12 2024,Fenerbahçe Beko,81,,Olympiacos,84,,OT,
Fri Apr 12 2024,Valencia Basket,66,,Partizan Mozzart Bet,79,,,
Fri Apr 12 2024,Barcelona,72,,LDLC ASVEL,76,,,
Fri Apr 12 2024,Baskonia,95,,Virtus Segafredo Bologna,91,,,
