Date,Team,PTS,,Opp,PTS,,OT,Notes
Sat Dec 23 2023,Reeder Samsunspor,69,,Bahçeşehir Koleji,98,,,
Sat Dec 23 2023,Yukatel Merkezefendi Basket,84,,Çağdaş Bodrumspor,88,,,
Sat Dec 23 2023,Petkim Spor,84,,Bursaspor İnfo Yatırım,94,,,
Sat Dec 23 2023,Manisa BB,76,,ONVO Büyükçekmece,103,,,
Sun Dec 24 2023,Beşiktaş Emlakjet,83,,Galatasaray Nef,89,,,
Sun Dec 24 2023,Tofaş,71,,Pınar Karşıyaka,98,,,
Sun Dec 24 2023,Anadolu Efes,71,,Türk Telekom,69,,,
Mon Dec 25 2023,Fenerbahçe Beko,98,,Darüşşafaka Lassa,56,,,
Fri Dec 29 2023,Pınar Karşıyaka,94,,Yukatel Merkezefendi Basket,107,,,
Fri Dec 29 2023,Çağdaş Bodrumspor,79,,Manisa BB,65,,,
Fri Dec 29 2023,Galatasaray Nef,72,,Reeder Samsunspor,70,,,
Fri Dec 29 2023,Bahçeşehir Koleji,86,,Tofaş,88,,,
Sat Dec 30 2023,Darüşşafaka Lassa,78,,Anadolu Efes,85,,,
Sat Dec 30 2023,Türk Telekom,66,,Beşiktaş Emlakjet,77,,,
Sat Dec 30 2023,ONVO Büyükçekmece,95,,Petkim Spor,99,,,
Sat Dec 30 2023,Bursaspor İnfo Yatırım,90,,Fenerbahçe Beko,97,,,
Fri Jan 5 2024,Yukatel Merkezefendi Basket,79,,Bahçeşehir Koleji,86,,,
Sat Jan 6 2024,Fenerbahçe Beko,89,,ONVO Büyükçekmece,58,,,
Sat Jan 6 2024,Tofaş,76,,Galatasaray Nef,95,,,
Sat Jan 6 2024,Manisa BB,91,,Pınar Karşıyaka,87,,,
Sat Jan 6 2024,Beşiktaş Emlakjet,76,,Reeder Samsunspor,70,,,
Sun Jan 7 2024,Petkim Spor,80,,Çağdaş Bodrumspor,62,,,
Sun Jan 7 2024,Anadolu Efes,83,,Bursaspor İnfo Yatırım,73,,,
Sun Jan 7 2024,Türk Telekom,84,,Darüşşafaka Lassa,86,,,
Sat Jan 13 2024,Darüşşafaka Lassa,72,,Beşiktaş Emlakjet,88,,,
Sat Jan 13 2024,Petkim Spor,74,,Pınar Karşıyaka,90,,,
Sat Jan 13 2024,Tofaş,86,,Reeder Samsunspor,87,,,
Sun Jan 14 2024,Fenerbahçe Beko,93,,Çağdaş Bodrumspor,92,,,
Sun Jan 14 2024,Türk Telekom,103,,Bursaspor İnfo Yatırım,69,,,
Sun Jan 14 2024,Anadolu Efes,79,,ONVO Büyükçekmece,70,,,
Sun Jan 14 2024,Yukatel Merkezefendi Basket,102,,Galatasaray Nef,87,,,
Mon Jan 15 2024,Manisa BB,81,,Bahçeşehir Koleji,78,,,
Sat Jan 20 2024,Galatasaray Nef,83,,Manisa BB,80,,,
Sat Jan 20 2024,Bahçeşehir Koleji,61,,Petkim Spor,76,,,
