Date,Team,PTS,,Opp,PTS,,OT,Notes
Sun Jan 7 2024,Monbus Obradoiro,90,,Barça,92,,OT,
Sun Jan 7 2024,Baxi Manresa,54,,Surne Bilbao Basket,74,,,
Sun Jan 7 2024,Covirán Granada,79,,Río Breogán,85,,,
Sun Jan 7 2024,Dreamland Gran Canaria,86,,Valencia Basket,79,,,
Sun Jan 7 2024,Real Madrid,99,,Baskonia,85,,,
Sat Jan 13 2024,Surne Bilbao Basket,78,,MoraBanc Andorra,87,,,
Sat Jan 13 2024,Zunder Palencia,86,,Bàsquet Girona,84,,,
Sat Jan 13 2024,Casademont Zaragoza,84,,Joventut,95,,,
Sat Jan 13 2024,Dreamland Gran Canaria,77,,Unicaja,80,,,
Sun Jan 14 2024,Barça,83,,Lenovo Tenerife,80,,,
Sun Jan 14 2024,Monbus Obradoiro,74,,Covirán Granada,77,,,
Sun Jan 14 2024,Baskonia,90,,Baxi Manresa,82,,,
Sun Jan 14 2024,Real Madrid,61,,UCAM Murcia,73,,,
Sun Jan 14 2024,Río Breogán,80,,Valencia Basket,88,,,
Sat Jan 20 2024,UCAM Murcia,80,,Dreamland Gran Canaria,91,,,
Sat Jan 20 2024,Unicaja,81,,Joventut,85,,,
Sat Jan 20 2024,Lenovo Tenerife,97,,Monbus Obradoiro,86,,,
Sat Jan 20 2024,Baxi Manresa,95,,Zunder Palencia,88,,,
Sun Jan 21 2024,Bàsquet Girona,75,,Río Breogán,93,,,
Sun Jan 21 2024,Barça,94,,Covirán Granada,61,,,
Sun Jan 21 2024,Surne Bilbao Basket,80,,Real Madrid,95,,,
Sun Jan 21 2024,MoraBanc Andorra,95,,Baskonia,108,,,
Sun Jan 21 2024,Valencia Basket,85,,Casademont Zaragoza,75,,,
Sat Jan 27 2024,Joventut,86,,MoraBanc Andorra,79,,,
Sat Jan 27 2024,Casademont Zaragoza,83,,Surne Bilbao Basket,86,,,
Sat Jan 27 2024,UCAM Murcia,73,,Lenovo Tenerife,75,,,
Sat Jan 27 2024,Río Breogán,68,,Baxi Manresa,83,,,
Sun Jan 28 2024,Zunder Palencia,94,,Barça,102,,,
Sun Jan 28 2024,Covirán Granada,61,,Bàsquet Girona,80,,,
Sun Jan 28 2024,Real Madrid,77,,Dreamland Gran Canaria,100,,,
Sun Jan 28 2024,Unicaja,83,,Valencia Basket,63,,,
Sun Jan 28 2024,Monbus Obradoiro,79,,Baskonia,89,,,
Sat Feb 3 2024,Zunder Palencia,77,,Joventut,89,,,
Sat Feb 3 2024,Surne Bilbao Basket,76,,UCAM Murcia,96,,,
Sat Feb 3 2024,MoraBanc Andorra,86,,Unicaja,92,,,
Sat Feb 3 2024,Río Breogán,61,,Casademont Zaragoza,63,,,
Sun Feb 4 2024,Valencia Basket,79,,Barça,76,,,
Sun Feb 4 2024,Baskonia,78,,Lenovo Tenerife,95,,,
Sun Feb 4 2024,Baxi Manresa,94,,Covirán Granada,93,,,
Sun Feb 4 2024,Dreamland Gran Canaria,81,,Monbus Obradoiro,72,,,
Sun Feb 4 2024,Bàsquet Girona,79,,Real Madrid,92,,,
Sat Feb 10 2024,Bàsquet Girona,66,,MoraBanc Andorra,93,,,
Sat Feb 10 2024,Unicaja,90,,Monbus Obradoiro,78,,,
Sat Feb 10 2024,Dreamland Gran Canaria,58,,Zunder Palencia,82,,,
Sat Feb 10 2024,Lenovo Tenerife,106,,Casademont Zaragoza,100,,,
Sun Feb 11 2024,Valencia Basket,78,,Surne Bilbao Basket,93,,,
Sun Feb 11 2024,Real Madrid,80,,Río Breogán,73,,,
Sun Feb 11 2024,Barça,87,,Baxi Manresa,77,,,
Sun Feb 11 2024,Covirán Granada,78,,UCAM Murcia,91,,,
Sun Feb 11 2024,Joventut,81,,Baskonia,78,,,
Sat Mar 2 2024,Covirán Granada,83,,Lenovo Tenerife,89,,,
Sat Mar 2 2024,Río Breogán,70,,Joventut,78,,,
Sat Mar 2 2024,UCAM Murcia,88,,Baxi Manresa,83,,,
Sat Mar 2 2024,Surne Bilbao Basket,84,,Unicaja,101,,,
