Date,Team,PTS,,Opp,PTS,,OT,Notes
Sun Jan 7 2024,Virtus Segafredo Bologna,66,,UNAHOTELS Reggio Emilia,72,,,
Sun Jan 7 2024,Givova Scafati,52,,Bertram Derthona Tortona,89,,,
Sun Jan 7 2024,EA7 Emporio Armani Milano,79,,Dolomiti Energia Trento,74,,,
Sun Jan 7 2024,GeVi Napoli Basket,89,,Umana Reyer Venezia,81,,,
Sat Jan 13 2024,Dolomiti Energia Trento,80,,Vanoli Basket Cremona,99,,,
Sun Jan 14 2024,NutriBullet Treviso Basket,67,,Germani Basket Brescia,88,,,
Sun Jan 14 2024,Bertram Derthona Tortona,82,,EA7 Emporio Armani Milano,83,,,
Sun Jan 14 2024,Carpegna Prosciutto Pesaro,75,,GeVi Napoli Basket,93,,,
Sun Jan 14 2024,Estra Pistoia,69,,Banco di Sardegna Sassari,107,,,
Sun Jan 14 2024,UNAHOTELS Reggio Emilia,76,,Givova Scafati,102,,,
Sun Jan 14 2024,Umana Reyer Venezia,103,,Openjobmetis Varese,92,,,
Mon Jan 15 2024,Happy Casa Brindisi,76,,Virtus Segafredo Bologna,103,,,
Sat Jan 20 2024,Givova Scafati,71,,Estra Pistoia,78,,,
Sat Jan 20 2024,Germani Basket Brescia,93,,Dolomiti Energia Trento,69,,,
Sun Jan 21 2024,GeVi Napoli Basket,80,,Happy Casa Brindisi,77,,,
Sun Jan 21 2024,EA7 Emporio Armani Milano,85,,Carpegna Prosciutto Pesaro,65,,,
Sun Jan 21 2024,Vanoli Basket Cremona,71,,UNAHOTELS Reggio Emilia,78,,,
Sun Jan 21 2024,Umana Reyer Venezia,69,,Bertram Derthona Tortona,75,,,
Sun Jan 21 2024,Banco di Sardegna Sassari,70,,NutriBullet Treviso Basket,77,,,
Sun Jan 21 2024,Virtus Segafredo Bologna,81,,Openjobmetis Varese,69,,,
Sat Jan 27 2024,NutriBullet Treviso Basket,93,,Givova Scafati,95,,,
Sat Jan 27 2024,Dolomiti Energia Trento,68,,Umana Reyer Venezia,93,,,
Sun Jan 28 2024,Estra Pistoia,90,,Germani Basket Brescia,109,,,
Sun Jan 28 2024,Openjobmetis Varese,83,,Vanoli Basket Cremona,82,,,
Sun Jan 28 2024,Banco di Sardegna Sassari,65,,EA7 Emporio Armani Milano,80,,,
Sun Jan 28 2024,Happy Casa Brindisi,86,,Carpegna Prosciutto Pesaro,78,,,
Sun Jan 28 2024,UNAHOTELS Reggio Emilia,64,,Bertram Derthona Tortona,93,,,
Sun Jan 28 2024,GeVi Napoli Basket,89,,Virtus Segafredo Bologna,101,,,
Sat Feb 3 2024,Germani Basket Brescia,104,,GeVi Napoli Basket,83,,,
Sat Feb 3 2024,Umana Reyer Venezia,60,,UNAHOTELS Reggio Emilia,77,,,
Sun Feb 4 2024,Bertram Derthona Tortona,86,,Happy Casa Brindisi,77,,,
Sun Feb 4 2024,EA7 Emporio Armani Milano,78,,Estra Pistoia,72,,,
Sun Feb 4 2024,Vanoli Basket Cremona,80,,Banco di Sardegna Sassari,86,,,
Sun Feb 4 2024,Carpegna Prosciutto Pesaro,82,,Givova Scafati,83,,,
Sun Feb 4 2024,Openjobmetis Varese,84,,Dolomiti Energia Trento,90,,,
Mon Feb 5 2024,Virtus Segafredo Bologna,100,,NutriBullet Treviso Basket,61,,,
Sat Feb 10 2024,Banco di Sardegna Sassari,62,,Bertram Derthona Tortona,79,,,
Sun Feb 11 2024,UNAHOTELS Reggio Emilia,63,,Germani Basket Brescia,86,,,
Sun Feb 11 2024,GeVi Napoli Basket,83,,Vanoli Basket Cremona,90,,,
Sun Feb 11 2024,Happy Casa Brindisi,55,,EA7 Emporio Armani Milano,69,,,
Sun Feb 11 2024,NutriBullet Treviso Basket,85,,Dolomiti Energia Trento,82,,,
Sun Feb 11 2024,Carpegna Prosciutto Pesaro,80,,Openjobmetis Varese,91,,,
Sun Feb 11 2024,Estra Pistoia,69,,Umana Reyer Venezia,96,,,
Sun Feb 11 2024,Givova Scafati,67,,Virtus Segafredo Bologna,94,,,
Sat Mar 2 2024,Dolomiti Energia Trento,75,,UNAHOTELS Reggio Emilia,77,,,
Sun Mar 3 2024,Vanoli Basket Cremona,76,,Happy Casa Brindisi,79,,,
Sun Mar 3 2024,Openjobmetis Varese,63,,EA7 Emporio Armani Milano,94,,,
Sun Mar 3 2024,NutriBullet Treviso Basket,81,,GeVi Napoli Basket,95,,,
Sun Mar 3 2024,Germani Basket Brescia,83,,Carpegna Prosciutto Pesaro,93,,,
Sun Mar 3 2024,Bertram Derthona Tortona,71,,Estra Pistoia,84,,,
Sun Mar 3 2024,Virtus Segafredo Bologna,88,,Banco di Sardegna Sassari,93,,,
Sun Mar 3 2024,Umana Reyer Venezia,95,,Givova Scafati,66,,,
Sat Mar 9 2024,UNAHOTELS Reggio Emilia,63,,NutriBullet Treviso Basket,71,,,
Sun Mar 10 2024,Givova Scafati,78,,Germani Basket Brescia,89,,,
Sun Mar 10 2024,Estra Pistoia,74,,Vanoli Basket Cremona,67,,,
Sun Mar 10 2024,GeVi Napoli Basket,72,,Bertram Derthona Tortona,97,,,
Sun Mar 10 2024,Carpegna Prosciutto Pesaro,82,,Dolomiti Energia Trento,109,,,
Sun Mar 10 2024,Happy Casa Brindisi,73,,Openjobmetis Varese,81,,,
Sun Mar 10 2024,Banco di Sardegna Sassari,78,,Umana Reyer Venezia,71,,,
Sun Mar 10 2024,EA7 Emporio Armani Milano,75,,Virtus Segafredo Bologna,84,,,
Sat Mar 16 2024,Estra Pistoia,95,,GeVi Napoli Basket,93,,OT,
Sun Mar 17 2024,Dolomiti Energia Trento,82,,Happy Casa Brindisi,89,,,
Sun Mar 17 2024,Virtus Segafredo Bologna,86,,Carpegna Prosciutto Pesaro,87,,OT,
Sun Mar 17 2024,Openjobmetis Varese,80,,UNAHOTELS Reggio Emilia,113,,,
Sun Mar 17 2024,Germani Basket Brescia,101,,Banco di Sardegna Sassari,106,,OT,
Sun Mar 17 2024,Bertram Derthona Tortona,91,,Givova Scafati,94,,,
Sun Mar 17 2024,Vanoli Basket Cremona,71,,NutriBullet Treviso Basket,78,,,
Sun Mar 17 2024,EA7 Emporio Armani Milano,72,,Umana Reyer Venezia,78,,,
Sat Mar 23 2024,NutriBullet Treviso Basket,84,,Estra Pistoia,83,,,
Sat Mar 23 2024,Banco di Sardegna Sassari,76,,Dolomiti Energia Trento,87,,,
